id	sentence1	sentence2	label
train_81078	The models of the previous sections provide a variety of options for representing the meaning of a verb from its arguments.	"none of these constructions takes into account the distributional vector of the verb itself, which includes valuable information that could further help in entailment tasks."	contrasting
train_115708	"One concern to the bootstrapping approach in this paper is that it takes time to work with, which will make it difficult to be incorporated into language applications that need to responses in real time."	we believe that such an approach can be used in offline contexts.	contrasting
train_85809	"Modern RNN architectures have been very successful in solving character-level NLP tasks (Chung et al., 2016b;Golub and He, 2016;Mikolov et al., 2012)."	they do not make the learned linguistic structure explicit: rather it can be presumed to be cryptically encoded in the states of the hidden layers.	contrasting
train_215132	"The recall increases with decreasing the sentence length, while the false discovery rate (FDR) decreases."	the recall for the grammatical patterns is low for all instructions.	contrasting
train_85987	In case of baseline B2 we used rather a crude way of capturing the stance wisdom by counting different stance types.	"collective stance might obey some specific patterns of development, as indicated by Mendoza et al. (2010), and capturing these patterns is an important factor."	contrasting
train_12959	"Simple-Expansion Min-Expansion could, to some degree, describe the syntactic relationships between the connective and arguments."	"the syntactic properties of the argument pair might not be captured, because the tree structure surrounding the argument is not taken into consideration."	contrasting
train_204820	The wheat straw in (9) changes its state when it is shattered.	"""shattered"" is not an absolute specification, but can be specified ""in greater degrees of accuracy"" (Gruber 1985: 82)."	contrasting
train_159949	"The selection of a summary-worthy subset of all extracted concepts and relations was largely ignored in previous work, as many studies did not have a focus on summarization."	"when dealing with larger document clusters, this step becomes inevitable."	contrasting
train_55859	We addressed the normalization problem using a constrained linear solver and the crossentropy problem using numerical optimization.	our experiments showed the difference in WSD performance to be less than 1% in each case.	contrasting
train_154358	It is obvious that the concepts related to airplane should have the same relation with plane.	it is not the case in ConceptNet.	contrasting
train_146654	"A recent empirical study (Siddhant and Lipton, 2018) investigating active learning in NLP suggests that Bayesian active learning outperforms classical uncertainty sampling across all settings."	the approaches have been limited to rel-atively small datasets.	contrasting
train_78646	AnalysePoems is another tool for identification of metrical patterns written by Plamondon (2006).	"with other programs, its main goal is not to perform a perfect scansion, but to only identify the predominant meter in a poem."	contrasting
train_107560	"Thus, a spell checker built according to this formulation could suggest the correction detroittigers because this alternative occurs frequently enough in the employed query log."	"detroittigers itself could be corrected to detroit tigers if presented as a stand-alone query to this spell checker, based on similar query-log frequency facts, which naturally leads to the idea of an iterative correction approach."	contrasting
train_77446	"Now that we have explored the role of syntax in this project, our next step is try to further improve our QE system by adding semantic information."	there are many other ways in which the research in this paper could be further extended.	contrasting
train_89926	Our experiments were limited by the size of the labeled data.	"the results support the theoretical predictions, and demonstrate the advantage of posterior-decoding over Viterbi decoding."	contrasting
train_36060	"Second, T-SRI has certain effectiveness for learning prerequisite relations, with F 1 ranging from 62.1 to 65.2%."	"t-SRI only considers relatively simple features, such as the sequential and co-occurrence among concepts."	contrasting
train_151301	"For well-defined IRs such as relational database retrieval (E. Levin et al., 2000), significant words (=keywords) are obvious."	"determining significant words for more general IR task (T. Misu et al., 2004) (C.Hori et al., 2003) is not easy."	contrasting
train_19334	"For example, after decoding with BMES, 4 consecutive characters associated with the tag sequence BMME compose a word."	"after decoding with IB, characters associated with BIII may compose a word if the following tag is B or only form part of a word if the following tag is I."	contrasting
train_11172	"Interestingly, (political catoons) are among these Chinese queries improved most by English ranking, which is believed as rare (or sensitive) content on Chinese web."	top English queries are short of this type of queries.	contrasting
train_21240	We assumed that the type and number of emotions are pre-defined and our approach was based on this assumption.	"in previous research, there is little agreement about the number and types of basic emotions."	contrasting
train_28850	"In existing parsers, features are commonly exploited from the parsing history, such as the top k elements on the stack."	such features are expensive in terms of search efficiency.	contrasting
train_9164	"These models typically view a sentence either as a bag of words (Foltz et al., 1998) or as a bag of entities associated with various syntactic roles ."	a mention of an entity contains more information than just its head and syntactic role.	contrasting
train_187439	We assume the following ordering exists: authoritative behavior > motivational behavior > negative deference > positive deference in the opposite direction > closeness.	we do not assume such an ordering for the SC Leadership.	contrasting
train_124775	"Since the exact boundaries of the spans are hard to define even for human annotators (Wiebe et al., 2005a;Yang and Cardie, 2013), the target span in MPQA 2.0 could be a single word, an NP or VP, or a text span covering more than one constituent."	"in MPQA 3.0, each target is anchored to the head of an NP or VP, which is a single word."	contrasting
train_131798	"We also try to choose more effective examples for self-training and tri-training, by selecting training instances according to the base segmentation model score."	the segmentation performances do not get improved.	contrasting
train_109247	"This work bears some similarity to the substantial literature on automatic subcategorization frame acquisition (see, e.g., Manning (1993), Briscoe and Carroll (1997), and Korhonen (2002))."	"that research is focused on acquiring verbs' syntactic behavior, and we are focused on the acquisition of verbs' linking behavior."	contrasting
train_123164	"Note that our method is similar to Active Learning (Tong and Koller, 2001), in that both automatically identify which unlabeled instances the human should annotate next."	"in active learning, the goal is to find instances that are difficult for a supervised learning system."	contrasting
train_165032	Incorporating this feedback in the development process may have influence on the success of the app.	one challenge for the developers is to deal with the overwhelming amount of reviews.	contrasting
train_71748	Existing systems which evaluate each passage separately against the question would view each passage as having a similar degree of support for either hypertrophic cardiomyopathy or aortic stenosis as the answer to the question.	"these systems lose sight of a crucial fact, namely, that even though each passage covers half of the facts in the question, (2.1 a) and (2.1 b) cover disjoint subsets of the facts, while (2.2 a) and (2.2 b) address the same set of facts."	contrasting
train_219494	We therefore regard these as parsing errors that we will train our model to avoid.	avoiding the Left-Arc transitions would require the parser to predict that the head is disfluent when it has not necessarily seen any evidence indicating that.	contrasting
train_15503	"However, Snow et al. assume the existence of an oracle which provides the senses of each word."	conceptResolver automatically determines the number of senses for each word.	contrasting
train_102501	"At the largest training data sizes, modeling all 4 features together results in the best predictions of inflection."	"using 4 separate models is worth this minimal decrease in performance, since it facilitates experimentation with the CRF framework for which the training of a single model is not currently tractable."	contrasting
train_9167	"Their method of combination is quite different from ours; they use the system's judgements to define the ""entities"" whose repetitions the system measures."	"we do not attempt to use any proposed coreference links; as Barzilay and Lapata (2005) point out, these links are often erroneous because the disorded input text is so dissimilar to the training data."	contrasting
train_96492	"Taghipour and Ng (2016) tried to attend over words on their one-layer LSTM model, but failed to beat the baseline model that employs mean-over-time pooling, because of that text-level model contains a quite long sequence of words, which may weaken the effect of attention."	"sentence-level model contains relatively short sequences of words, which makes attention more effective."	contrasting
train_154362	"Therefore some recent work (Mihalcea, 2007; Ponzetto&Navigli, 2010) exploits Wikipedia, a large collaborative Web encyclopedia, to extract the knowledge for WSD."	the type of semantic relations extracted from Wikipedia is uncertain.	contrasting
train_206368	"The argument is of a simple, brute-force nature and takes into account various alternatives including even the ones which might be dismissed as implausible without a moment's thought."	"it clearly shows, by utilizing the locality requirements imposed on phrasal idioms, that the causative and inchoative verbs in the causative alternation are best analyzed in terms of the common base approach."	contrasting
train_33238	"The input gate by allowing incoming signal to alter the state of the memory cell, regulates proportion of history information memory cell will keep."	the output gate regulates what proportion of stored information in the memory cell will influence other neurons.	contrasting
train_71753	"A merger strategy that takes maximum across passages will choose M AX (s 1.1 , s 1.2 ) as the optimal supporting passage."	"since these passages have complementary information to offer, it would be better to somehow aggregate this information."	contrasting
train_183420	"First, the model learns that high edit distance is predictive of a mismatch."	singleton strings that do not match often have a lower edit distance than longer strings that do match.	contrasting
train_169460	"This pipeline architecture is appealing for various reasons, including modularity, modeling convenience, and manageable computational complexity."	it suffers from the error propagation problem: errors made in one sub-task are propagated to the next sub-task in the sequence.	contrasting
train_38579	"All previous works converged to a shared assessment: both CNNs and RNNs provide relevant, but different kinds of information for text classification."	"though several works have studied linguistic structures inherent in RNNs, to our knowledge, none of them have focused on CNNs."	contrasting
train_31737	"Another avenue for providing user confidence is probabilistic calibration (Platt, 1999), which has been explored more recently for structured prediction (Kuleshov and Liang, 2015)."	these methods do not guarantee precision for any training set and test input.	contrasting
train_194614	"The broad success of CWRs indicates that they encode useful, transferable features of language."	their linguistic knowledge and transferability are not yet well understood.	contrasting
train_155139	"This means that, for instance, any occurrence of the verb charge, such as in the expressions charge a fee or charge a battery, is assigned the same vector representation, ignoring the difference of word sense."	"the fact that charge and impose are near-synonyms in charge/impose a fee will not be properly reflected in their respective meaning vectors, since the former, but not the latter, includes (context words reflecting) the ""supply electricity"" sense of charge."	contrasting
train_150979	Its adaptation-guided retrieval makes it ultimately similar to our system.	our approach differs from it in two respects.	contrasting
train_187440	We achieved a very high recall (close to 1.0) for most indicators with these rules on test data.	"in few cases, the frequency of such indicators (such as politeness) were very low deeming the set of regular expressions as incomplete."	contrasting
